numero;element;statut;constat_et_emplacement;action_proposee;priorite
13;Provenance du prospect;EXISTANT À AMÉLIORER;"Pays de résidence et programme enregistrés pour les candidatures ; `Lead.source` vaut notamment `enrollment_form` pour les demandes générales. S10, S12, S13.";"Conserver ces données ; ajouter source/medium/campagne/contenu, page d’entrée et pays ciblé distinct du pays déclaré. Aucun de ces champs ne prouve seul un contact attribué à une plateforme.";P0
14;Conservation UTM;ABSENT;Test réel `/mba?utm_source=meta…` → fiche → candidature : disparition des paramètres, aucun stockage correspondant. S09, S12.;"Attribution initiale et dernière source selon politique validée, persistance limitée, transfert au serveur et traitement des visites directes ; tester mobile/rechargement/liens PDF.";P0
15;Suivi prospects / CRM;EXISTANT À AMÉLIORER;"`/apprentissage` → « Candidatures MBA & DBA » ; `/admin/commercial` pour autres demandes. S10–S14.";Vue consolidée, propriétaire du lead, échéance, relances, historique des contacts, dédoublonnage et inscription réelle. Le total commercial actuel exclut les candidatures exécutives.;"P0 exploitation ; P1 automatisation"
16;GA4, GTM, Meta Pixel/CAPI…;ABSENT;"Aucun script/global/appel de ces outils sur huit pages inspectées ; aucune configuration marketing correspondante côté API. S15 confirme leur absence.";"Plan de mesure puis GA4 ou alternative choisie ; Pixel si Meta est utilisé. GTM est un moyen de déploiement optionnel. CAPI vient avec déduplication et base légale, pas comme contournement du consentement.";"P0 mesure minimale ; P1 CAPI"
17;Événements de conversion;ABSENT;Pas d’événements publicitaires pour les vues/clics/envois/rendez-vous/inscriptions. Les journaux d’apprentissage et d’administration ont une autre finalité. S09, S10.;"Mettre en place le dictionnaire d’événements ci-dessous ; déclencher les conversions sur confirmation réelle du serveur, pas uniquement sur clic.";P0
18;Consentement et protection des données;EXISTANT À AMÉLIORER;[/confidentialite](https://beyond-expertise.com/confidentialite), `/vos-droits`, liens aux formulaires, session protégée et droits d’accès. S12, S15, S16.;"Compléter bases légales, conservation, prestataires et preuves ; minimiser la demande initiale. Installer une gestion des choix avant activation de traceurs soumis à consentement.";P0
19;Mentions légales et conditions commerciales;EXISTANT À AMÉLIORER;"[/mentions-legales](https://beyond-expertise.com/mentions-legales) existe mais identité à compléter et hébergement décrit comme local ; pas de conditions contractuelles finalisées disponibles. S17, S18.";Informations juridiques exactes et hébergeur, conditions de vente/formation, frais, paiement, annulation/rétractation/médiation selon situation réelle.;P0
20;Smartphone;EXISTANT À AMÉLIORER;"Mise en page lisible et sans débordement aux largeurs testées ; captures annexées. S02–S04, S09, S19.";Réduire les étapes de qualification à froid, rendre brochures/tarifs accessibles plus tôt, tester clavier et assistant flottant sur appareils réels.;"P0 parcours court ; P1 finition"
21;Performance mobile / réseau lent;EXISTANT À AMÉLIORER;Test synthétique détaillé ci-dessous : formulaire ~2,3 s LCP, MBA 2,81–4,22 s. Optimisation d’images et chargement différé présents.;Fixer un budget aux pages d’entrée, mesurer depuis les marchés cibles, réduire JavaScript et vidéo non essentiels.;"P0 validation landing ; P1 optimisation générale"
22;CTA cohérents;EXISTANT À AMÉLIORER;"Candidature, entretien, brochure et exploration existent, mais objectifs/canaux dispersés ; brochure en fin de fiche mobile. S04, S09.";Harmoniser « Recevoir la brochure », « Demander les tarifs », « Parler à un conseiller », « Candidater », « Prendre rendez-vous » et leur destination réelle.;"P0 parcours principal ; P1 harmonisation"
23;Réassurance vérifiable;NON VÉRIFIABLE;"Note 4,8/5 du centre sans période/effectif publiés ; logos de références d’interventions ; visuels fictifs ; pas de dossiers probants de diplômés/formateurs engagés pour les cohortes inspectées. S20–S22.";"Obtenir autorisations et preuves ; publier biographies confirmées, témoignages datés et contextualisés, statut du diplôme vérifié. Ne pas transformer les scènes IA en preuves de promotions.";"P0 allégations ; P1 preuves supplémentaires"
24;FAQ commerciale;EXISTANT À AMÉLIORER;"Six questions générales sur l’accueil, composant FAQ réutilisable ; pas de FAQ MBA/DBA répondant précisément au diplôme, à sa reconnaissance et aux paiements. S23.";Adapter le composant aux réponses validées MBA/DBA : diplôme/émetteur, distanciel, admissions, durée, coût, échéancier, matériel, fuseau, accompagnement, annulation.;"P1 ; P0 réponses sur le titre"
