type;intitule;slug;page;page_http;brochure;pdf_http;pdf_pages;pdf_octets;pdf_sha256;modules_ou_jalons;duree_cible;rythme_indicatif;titre_present_pdf;modules_presents_pdf;lien_pdf_candidature_correct;objectifs_renseignes;prerequis_renseignes;public_renseigne;evaluation_renseignee;projet_renseigne;duree_definitive;format_100_distance;organisation;accompagnement;diplome_exact;organisme_emetteur;double_diplomation;reconnaissance;tarif;paiement;rentree_confirmee;candidature;inscription_definitive;cours_statut_production;cours_publie_production
MBA;Direction des infrastructures et projets de génie civil;mba-infrastructures-genie-civil;https://beyond-expertise.com/mba-dba/mba-infrastructures-genie-civil;200;https://beyond-expertise.com/programmes-executive/mba-infrastructures-genie-civil.pdf;200;4;81915;0f7409505bdf0d60a73778e5ae676364579f75e62d5cf6a49541bf7409b221a4;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Ingénierie financière, investissement et gestion des risques;mba-finance-investissement-risques;https://beyond-expertise.com/mba-dba/mba-finance-investissement-risques;200;https://beyond-expertise.com/programmes-executive/mba-finance-investissement-risques.pdf;200;4;81796;c2957ef1af30b7ac3908079350793ef37cd9c1fe143ad9bebd48a2a52e834dad;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Audit, contrôle de gestion et fiabilité financière;mba-audit-controle-performance;https://beyond-expertise.com/mba-dba/mba-audit-controle-performance;200;https://beyond-expertise.com/programmes-executive/mba-audit-controle-performance.pdf;200;4;81956;e7eae3a429458d99678dee0b0be783c7bb6e9a7efff84140a443a69b9b8cdc6d;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Finances publiques, audit et redevabilité;mba-finances-publiques-redevabilite;https://beyond-expertise.com/mba-dba/mba-finances-publiques-redevabilite;200;https://beyond-expertise.com/programmes-executive/mba-finances-publiques-redevabilite.pdf;200;4;81764;be9e92dbd40ed59a6971cb9fcb1a6e3fb0efe8e088a8b790a79c6761051b208e;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Gouvernance hospitalière et management des organisations de santé;mba-sante-gouvernance-hospitaliere;https://beyond-expertise.com/mba-dba/mba-sante-gouvernance-hospitaliere;200;https://beyond-expertise.com/programmes-executive/mba-sante-gouvernance-hospitaliere.pdf;200;4;81904;e61a610ca7e91ce418e2a404d38d42a6f3d344f36629a62bc7384cc71a4166b3;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Santé publique, pilotage des systèmes et impact territorial;mba-sante-publique-systemes-impact;https://beyond-expertise.com/mba-dba/mba-sante-publique-systemes-impact;200;https://beyond-expertise.com/programmes-executive/mba-sante-publique-systemes-impact.pdf;200;4;82403;043dee7eebaea93799ff84b11757df2c99a85301363ba8eef80ee8bc281f1c39;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Stratégie pharmaceutique, innovation et accès aux marchés;mba-pharma-biotechnologies-strategie;https://beyond-expertise.com/mba-dba/mba-pharma-biotechnologies-strategie;200;https://beyond-expertise.com/programmes-executive/mba-pharma-biotechnologies-strategie.pdf;200;4;81920;f508d81ad6bfdba5fe9bfbb22b680c790277e2c926b70d5185b73b59aec8a776;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Leadership humanitaire, ONG et programmes à impact;mba-ong-humanitaire-impact;https://beyond-expertise.com/mba-dba/mba-ong-humanitaire-impact;200;https://beyond-expertise.com/programmes-executive/mba-ong-humanitaire-impact.pdf;200;4;81765;f74c7119799566c3c9d21e87263587e11234a62092061dc81e4e34b753ab415c;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Diplomatie économique, coopération et stratégies internationales;mba-diplomatie-economique-cooperation;https://beyond-expertise.com/mba-dba/mba-diplomatie-economique-cooperation;200;https://beyond-expertise.com/programmes-executive/mba-diplomatie-economique-cooperation.pdf;200;4;81879;1cb689b52e54e4d455a8d88e500e407f4cd0de5f2d530fcc3ca8e23d14f6ac6d;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Sport business, marketing et grands événements;mba-sport-business-evenements;https://beyond-expertise.com/mba-dba/mba-sport-business-evenements;200;https://beyond-expertise.com/programmes-executive/mba-sport-business-evenements.pdf;200;4;82060;c3133110cac8dc2e7f924cd5f0493b18b118be3879d518fecf2bf62051f4b365;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Gouvernance sportive, intégrité et développement des institutions;mba-sport-gouvernance-integrite;https://beyond-expertise.com/mba-dba/mba-sport-gouvernance-integrite;200;https://beyond-expertise.com/programmes-executive/mba-sport-gouvernance-integrite.pdf;200;4;81703;18c6fee6d5fd9578da855cbf848a19235904d29ba9a838eaaed7f3523c29c535;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Leadership et transformation des systèmes de santé;dba-leadership-systemes-sante;https://beyond-expertise.com/mba-dba/dba-leadership-systemes-sante;200;https://beyond-expertise.com/programmes-executive/dba-leadership-systemes-sante.pdf;200;4;81405;46e7b39e3d57a70972cd75cda22c881b05acf1d530643812af850ec717f35f1e;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Gouvernance et performance des établissements de santé;dba-gouvernance-etablissements-sante;https://beyond-expertise.com/mba-dba/dba-gouvernance-etablissements-sante;200;https://beyond-expertise.com/programmes-executive/dba-gouvernance-etablissements-sante.pdf;200;4;81419;1e2d5fb5568ce96fcd529734b872d97b8471042f264a8fbd466ca6fd3d890338;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Politiques de santé publique, équité et évaluation;dba-sante-publique-equite;https://beyond-expertise.com/mba-dba/dba-sante-publique-equite;200;https://beyond-expertise.com/programmes-executive/dba-sante-publique-equite.pdf;200;4;81402;5341d5d286bf14bd169e574978823c11f2156ed488aaa45905bfc47f45b8f880;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Entrepreneuriat, écosystèmes et croissance des entreprises;dba-entrepreneuriat-ecosystemes;https://beyond-expertise.com/mba-dba/dba-entrepreneuriat-ecosystemes;200;https://beyond-expertise.com/programmes-executive/dba-entrepreneuriat-ecosystemes.pdf;200;4;81404;a5438068c0a2ec91c76884a50eed9d4fc5c694b3dde037138fbca73c24defb7f;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Capital humain, ressources et transformation des organisations;dba-capital-humain-organisations;https://beyond-expertise.com/mba-dba/dba-capital-humain-organisations;200;https://beyond-expertise.com/programmes-executive/dba-capital-humain-organisations.pdf;200;4;81422;de968108656d48ceddc85b9db4dc0d05cfbf7cf9ea1ec7c1bbb215c1c9a98f0b;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Innovation, IA et transformation stratégique;dba-innovation-technologies;https://beyond-expertise.com/mba-dba/dba-innovation-technologies;200;https://beyond-expertise.com/programmes-executive/dba-innovation-technologies.pdf;200;4;81374;168e024621f7be52318b84ed93d8118ecfe6c8b65f78a7e103c033156ff1e532;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Finance, investissement et résilience économique;dba-finance-investissement;https://beyond-expertise.com/mba-dba/dba-finance-investissement;200;https://beyond-expertise.com/programmes-executive/dba-finance-investissement.pdf;200;4;81385;f080102aad8d0ae7a055f1e3caff065f8940dfe3d2d13796ad0c5001571526df;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Gouvernance financière et performance des organisations;dba-gouvernance-financiere;https://beyond-expertise.com/mba-dba/dba-gouvernance-financiere;200;https://beyond-expertise.com/programmes-executive/dba-gouvernance-financiere.pdf;200;4;81411;f0d1ffb70defd9bbd9f958a756e26a5a2bc89b17949fffaa8121df69fe8ef5e9;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Gouvernance des infrastructures et projets durables;dba-infrastructures-durables;https://beyond-expertise.com/mba-dba/dba-infrastructures-durables;200;https://beyond-expertise.com/programmes-executive/dba-infrastructures-durables.pdf;200;4;81469;c55d0ab43bf5a33d3e731073d5cf11416c24ac466551e8dadbe42b3b3ac21f37;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
DBA;Systèmes d’information, données et gouvernance numérique;dba-systemes-information;https://beyond-expertise.com/mba-dba/dba-systemes-information;200;https://beyond-expertise.com/programmes-executive/dba-systemes-information.pdf;200;4;81423;834e084434f04d3b1e9512a98cdf7f975e163ea1f3640d409569c35ae20b8d1f;8;24 à 36 mois;8 à 12 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
